Legend:
{Program}
({Primes up to number}, #processors)

SeqSieve
(10^7)
1: 0.007031, 0.023289
2: 0.007078, 0.023268
3: 0.007013, 0.023162
A: 0.007041, 0.023240
Op: 45700102

BSPSieve
(10^3, 1)
1: 0.000007, 0.000020
2: 0.000007, 0.000020
3: 0.000002, 0.000005
A: 0.000006, 0.000015
(10^3, 2)
1: 0.000016, 0.000042
2: 0.000016, 0.000042
3: 0.000016, 0.000042
A: 0.000016, 0.000042
(10^3, 4)
1: 0.000059, 0.000114
2: 0.000055, 0.000110
3: 0.000059, 0.000113
A: 0.000058, 0.000113
(10^3, 6)
1: 0.000222, 0.000301
2: 0.000225, 0.000303
3: 0.000211, 0.000290
A: 0.000220, 0.000298
(10^3, 8)
1: 0.000075, 0.000198
2: 0.000075, 0.000178
3: 0.000076, 0.000180
A: 0.000076, 0.000186
(10^3, 10)
1: 0.000094, 0.000226
2: 0.000157, 0.000286
3: 0.000152, 0.000282
A: 0.000135, 0.000265
(10^3, 12)
1: 0.000075, 0.000229
2: 0.000095, 0.000250
3: 0.000112, 0.000274
A: 0.000094, 0.000251

(10^4, 1)
1: 0.000032, 0.000088
2: 0.000025, 0.000088
3: 0.000025, 0.000087
A: 0.000028, 0.000088
(10^4, 2)
1: 0.000027, 0.000118
2: 0.000026, 0.000116
3: 0.000025, 0.000116
A: 0.000026, 0.000117
(10^4, 4)
1: 0.000053, 0.000195
2: 0.000062, 0.000202
3: 0.000054, 0.000196
A: 0.000057, 0.000198
(10^4, 6)
1: 0.000201, 0.000384
2: 0.000156, 0.000344
3: 0.000124, 0.000313
A: 0.000161, 0.000347
(10^4, 8)
1: 0.000110, 0.000356
2: 0.000117, 0.000375
3: 0.000136, 0.000368
A: 0.000121, 0.000367
(10^4, 10)
1: 0.000112, 0.000402
2: 0.000121, 0.000467
3: 0.000117, 0.000398
A: 0.000117, 0.000423
(10^4, 12)
1: 0.000102, 0.000440
2: 0.000068, 0.000407
3: 0.000145, 0.000485
A: 0.000105, 0.000444

(10^5, 1)
1: 0.000191, 0.000803
2: 0.000157, 0.000763
3: 0.000156, 0.000762
A: 0.000168, 0.000776
(10^5, 2)
1: 0.000123, 0.000789
2: 0.000127, 0.000792
3: 0.000125, 0.000773
A: 0.000125, 0.000785
(10^5, 4)
1: 0.000106, 0.000665
2: 0.000106, 0.000672
3: 0.000110, 0.000664
A: 0.000108, 0.000667
(10^5, 6)
1: 0.000325, 0.000948
2: 0.000250, 0.000848
3: 0.000332, 0.000934
A: 0.000303, 0.000910
(10^5, 8)
1: 0.000131, 0.000824
2: 0.000144, 0.000898
3: 0.000101, 0.000804
A: 0.000125, 0.000842
(10^5, 10)
1: 0.000262, 0.001128
2: 0.000130, 0.000933
3: 0.000230, 0.001056
A: 0.000208, 0.001039
(10^5, 12)
1: 0.000134, 0.001062
2: 0.000129, 0.001057
3: 0.000138, 0.001131
A: 0.000134, 0.001084

(10^6, 1)
1: 0.001541, 0.006194
2: 0.001520, 0.006226
3: 0.001567, 0.006228
A: 0.001543, 0.006216
(10^6, 2)
1: 0.001087, 0.005804
2: 0.001190, 0.006037
3: 0.001100, 0.005978
A: 0.001126, 0.005940
(10^6, 4)
1: 0.000726, 0.005014
2: 0.000883, 0.005151
3: 0.000825, 0.005075
A: 0.000812, 0.005080
(10^6, 6)
1: 0.000726, 0.004463
2: 0.000758, 0.004528
3: 0.000770, 0.004435
A: 0.000752, 0.004476
(10^6, 8)
1: 0.000450, 0.003971
2: 0.000585, 0.003971
3: 0.000424, 0.003939
A: 0.000487, 0.003961
(10^6, 10)
1: 0.000367, 0.003748
2: 0.000453, 0.003977
3: 0.000376, 0.003638
A: 0.000399, 0.003788
(10^6, 12)
1: 0.000300, 0.003753
2: 0.000357, 0.003902
3: 0.000344, 0.003971
A: 0.000334, 0.003876

(10^7, 1)
1: 0.007128, 0.027917
2: 0.007068, 0.027866
3: 0.007067, 0.025981
A: 0.007088, 0.027255
(10^7, 2)
1: 0.005987, 0.024437
2: 0.006069, 0.024757
3: 0.006131, 0.024736
A: 0.006063, 0.024644
(10^7, 4)
1: 0.005062, 0.015247
2: 0.004955, 0.015088
3: 0.005096, 0.015337
A: 0.005038, 0.015224
(10^7, 6)
